question,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
Where are langerhans cells commonly found?,0,1,6,1,,99,,6,33.33,66.67,66.67,50,0,0,0,0,0,0,0,0,0,0,0,0,16.67,33.33,0,0,33.33,0,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,16.67,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
What does collagen lend to the skin?,0,1,7,89.52,,,,7,14.29,85.71,71.43,57.14,14.29,0,0,0,0,0,0,14.29,14.29,14.29,0,14.29,14.29,0,0,0,28.57,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0
Which of the following is not a function of the hypodermis?,0,1,11,99,1,50.45,,11,27.27,81.82,81.82,72.73,9.09,0,0,0,0,0,0,9.09,27.27,27.27,0,18.18,9.09,0,0,9.09,18.18,0,0,0,0,0,0,18.18,0,18.18,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
"In response to stimuli from the sympathetic nervous system, which of the following is correct about the arrector pili?",0,1,19,99,14.81,8.42,20.23,19,36.84,84.21,73.68,52.63,5.26,0,0,0,0,0,0,5.26,15.79,15.79,0,26.32,5.26,5.26,0,0,10.53,15.79,0,5.26,5.26,0,0,15.79,0,15.79,0,10.53,0,0,0,5.26,0,10.53,5.26,5.26,10.53,0,5.26,5.26,0,0,0,10.53,10.53,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,10.53,0,5.26,5.26,0,0,0,0
What does the hair matrix contain?,0,1,6,49.68,,39.59,,6,16.67,83.33,50,50,16.67,0,0,0,0,0,0,16.67,16.67,16.67,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0
What are Eccrine sweat glands?,0,1,5,3.8,,,,5,20,80,40,40,20,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0
Which of these structures is not under direct control of the peripheral nervous system?,0,1,14,89.52,1,97.09,1,14,28.57,78.57,71.43,57.14,14.29,0,0,0,0,0,0,14.29,14.29,7.14,0,21.43,7.14,0,0,7.14,7.14,7.14,0,7.14,0,0,7.14,21.43,0,21.43,0,7.14,0,0,0,14.29,0,7.14,0,7.14,7.14,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,0
"In humans, exposure of the skin to sunlight is required for what?",0,1,12,99,84.23,3.81,,12,25,83.33,58.33,58.33,8.33,0,0,0,0,0,0,8.33,8.33,8.33,0,33.33,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,16.67,0,8.33,8.33,0,0,0,0
Which of the following is correct about bedsores?,0,1,8,89.52,1.71,15.38,,8,37.5,87.5,87.5,62.5,12.5,0,0,0,0,0,0,12.5,12.5,12.5,0,25,12.5,12.5,0,0,25,12.5,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
Squamous cell carcinomas are the second most common of the skin cancers and are capable of metastasizing if not treated. This cancer affects which cells?,0,1,25,63.53,1,13.33,,12.5,28,76,64,52,8,0,0,0,0,0,0,8,20,8,4,8,8,0,8,4,12,12,8,4,0,4,0,16,0,16,0,4,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,4,0,4,0,0,0,0
What term describes the use of mathematical equations in the modeling of linear aspects of ecosystems?,0,1,16,99,,15.38,,16,37.5,68.75,50,43.75,6.25,0,0,0,0,0,0,6.25,12.5,12.5,0,25,0,0,0,0,6.25,0,0,0,0,0,0,6.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0
What law of chemistry determines how much energy can be transferred when it is converted from one form to another?,0,1,20,15.41,15.75,28.56,,20,25,80,75,65,15,0,0,0,0,0,0,15,15,0,5,15,15,10,5,0,25,5,15,5,0,0,5,20,0,20,10,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,0,0,0,0,0,0,5,0,0,5,0,0,0,0
The AUC and AUA codons in mRNA both specify isoleucine. What feature of the genetic code explains this?,1,1,18,95.3,,10.18,,9,27.78,55.56,50,44.44,11.11,0,0,0,0,0,0,11.11,22.22,11.11,0,11.11,0,0,5.56,0,5.56,0,5.56,0,0,0,0,5.56,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,5.56,0,0,0,0,0,5.56,0,0,0,0,0,0,11.11,5.56,0,5.56,0,0,0,0
How many nucleotides are in 12 mRNA codons?,2,1,8,62.1,,89.39,,8,12.5,62.5,50,50,0,0,0,0,0,0,0,0,12.5,0,12.5,12.5,12.5,12.5,0,0,12.5,12.5,12.5,0,0,0,0,12.5,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
Which feature of promoters can be found in both prokaryotes and eukaryotes?,1,1,12,49.68,6.61,39.59,,12,33.33,75,66.67,58.33,8.33,0,0,0,0,0,0,8.33,8.33,0,0,16.67,16.67,0,8.33,0,25,0,8.33,8.33,0,8.33,0,25,0,25,8.33,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
What transcripts will be most affected by low levels of α-amanitin?,1,1,11,71.44,,5.07,,11,27.27,81.82,72.73,54.55,9.09,0,0,0,0,0,0,9.09,9.09,0,0,18.18,18.18,0,0,0,27.27,18.18,18.18,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,9.09,0,0,0,0,9.09,0,9.09,0,0,0,0,0,18.18,0,0,9.09,0,0,9.09,0
Which pre-mRNA processing step is important for initiating translation?,1,1,9,66.04,2.75,99,99,9,55.56,66.67,44.44,33.33,11.11,0,0,0,0,0,0,11.11,0,0,0,11.11,11.11,0,0,0,11.11,11.11,0,0,0,0,0,22.22,0,22.22,0,11.11,0,0,0,11.11,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,22.22,0,0,11.11,0,0,11.11,0
What processing step enhances the stability of pre-tRNAs and pre-rRNAs?,1,1,10,89.52,,63.35,,10,50,60,50,40,10,0,0,0,0,0,0,10,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,10,0,0,20,0
"In any given species, there are at least how many types of aminoacyl tRNA synthetases?",2,1,15,89.52,,63.35,,15,20,66.67,66.67,60,0,0,0,0,0,0,0,0,20,0,0,20,6.67,13.33,0,0,13.33,13.33,13.33,0,0,0,0,13.33,0,13.33,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,13.33,0,0,0,0,6.67,6.67,0,0,0,0,0,0,13.33,0,6.67,6.67,0,0,0,0
Which structure predominates in the white matter of the brain?,0,1,10,99,3.95,63.35,,10,20,80,60,50,10,0,0,0,0,0,0,10,20,20,0,20,0,0,0,0,0,10,0,0,0,0,0,20,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0
Which part of a neuron transmits an electrical signal to a target cell?,0,1,13,99,1,30.98,,13,15.38,69.23,53.85,46.15,7.69,0,0,0,0,0,0,7.69,23.08,23.08,0,15.38,0,0,0,0,0,0,7.69,0,0,0,0,15.38,0,15.38,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
Which term describes a bundle of axons in the peripheral nervous system?,0,1,12,99,6.61,89.39,1,12,25,66.67,50,41.67,8.33,0,0,0,0,0,0,8.33,16.67,16.67,0,16.67,0,0,0,0,0,8.33,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,8.33,0,8.33,0,8.33,8.33,0,8.33,8.33,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
Which part of a neuron contains the nucleus?,0,1,8,99,1,99,,8,25,87.5,62.5,50,12.5,0,0,0,0,0,0,12.5,25,25,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,25,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
Which of the following substances is least able to cross the blood-brain barrier?,0,1,13,99,7.93,30.98,,13,30.77,84.62,69.23,53.85,7.69,0,0,0,0,0,0,7.69,23.08,15.38,0,15.38,7.69,0,0,0,23.08,7.69,7.69,7.69,0,7.69,0,7.69,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,15.38,0,0,7.69,0,0,7.69,0
What type of glial cell is the resident macrophage behind the blood-brain barrier?,0,1,13,99,,2.93,,13,30.77,61.54,46.15,46.15,7.69,0,0,0,0,0,0,7.69,15.38,15.38,0,15.38,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,15.38,0,0,7.69,0,0,7.69,0
What two types of macromolecules are the main components of myelin?,0,1,11,97.37,,,,11,18.18,63.64,63.64,54.55,9.09,0,0,0,0,0,0,9.09,18.18,9.09,9.09,18.18,9.09,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
Which of these locations is where the greatest level of integration is taking place in the example of testing the temperature of the shower?,0,1,24,99,6.61,89.39,83,24,25,87.5,70.83,58.33,8.33,0,0,0,0,0,0,8.33,20.83,16.67,0,20.83,8.33,4.17,0,0,16.67,4.17,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,8.33,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,4.17,16.67,0,0,16.67,0,0,0,0,0,8.33,0,0,0,0,0,0,4.17,0,0,4.17,0,0,0,0
"How long does all the signaling through the sensory pathway, within the central nervous system, and through the motor command pathway take?",0,1,22,99,,95.15,1,22,40.91,81.82,68.18,50,0,0,0,0,0,0,0,0,22.73,18.18,0,13.64,4.55,4.55,4.55,0,9.09,13.64,9.09,4.55,0,0,4.55,9.09,4.55,4.55,4.55,4.55,0,0,0,0,0,4.55,0,4.55,4.55,0,4.55,4.55,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,9.09,22.73,0,0,22.73,0,0,0,0,0,4.55,0,0,0,0,0,0,13.64,0,9.09,4.55,0,0,0,0
What is the target of an upper motor neuron?,0,1,9,98.16,,10.18,,9,0,77.78,66.67,55.56,11.11,0,0,0,0,0,0,11.11,22.22,22.22,0,11.11,11.11,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
What ion enters a neuron causing depolarization of the cell membrane?,0,1,11,99,,5.07,,11,27.27,63.64,45.45,36.36,9.09,0,0,0,0,0,0,9.09,18.18,18.18,0,9.09,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
What does a ligand-gated channel require in order to open?,0,1,10,97.77,,63.35,,10,30,80,60,50,10,0,0,0,0,0,0,10,10,10,0,20,10,0,0,0,20,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,20,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,10,0,0,10,0
Which of the following voltages would most likely be measured during the relative refractory period?,0,1,15,96.08,10.48,19.26,,15,33.33,80,73.33,53.33,6.67,0,0,0,0,0,0,6.67,20,13.33,0,13.33,13.33,0,0,0,20,20,6.67,0,0,0,0,20,0,20,0,0,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
Which of the following is probably going to propagate an action potential fastest?,0,1,13,96.67,7.93,98.89,,13,38.46,92.31,76.92,53.85,7.69,0,0,0,0,0,0,7.69,15.38,15.38,0,15.38,7.69,7.69,0,0,30.77,7.69,0,0,0,0,0,23.08,0,23.08,0,0,0,15.38,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,15.38,0,0,0,0,7.69,0,7.69,23.08,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
How much of a change in the membrane potential is necessary for the summation of postsynaptic potentials to result in an action potential being generated?,0,1,25,99,,63.35,,25,32,84,60,56,0,0,0,0,0,0,0,0,20,16,0,24,8,4,0,0,8,8,4,0,0,0,0,24,0,24,4,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,12,0,4,8,0,0,0,4,0,4,8,0,0,0,0,0,4,0,0,4,0,0,0,0
A channel opens on a postsynaptic membrane that causes a negative ion to enter the cell. What type of graded potential is this?,2,1,23,98.7,,4.38,1,11.5,21.74,73.91,60.87,47.83,13.04,0,0,0,0,0,0,13.04,26.09,17.39,0,13.04,4.35,0,0,0,13.04,4.35,0,0,0,0,0,8.7,0,8.7,0,4.35,0,4.35,0,0,0,4.35,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,4.35,4.35,0,0,0,0,0,8.7,4.35,0,0,0,0,0,8.7,4.35,0,4.35,0,0,0,0
What neurotransmitter is released at the neuromuscular junction?,0,1,8,89.52,,,,8,50,50,50,50,12.5,0,0,0,0,0,0,12.5,12.5,12.5,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
Which part of the clavicle articulates with the manubrium?,1,1,9,99,1,77.17,,9,33.33,66.67,66.67,55.56,11.11,0,0,0,0,0,0,11.11,22.22,22.22,0,22.22,0,0,0,0,0,0,11.11,0,0,0,0,22.22,0,22.22,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0
Which feature lies between the spine and superior border of the scapula?,0,1,12,99,6.61,89.39,99,12,33.33,83.33,58.33,50,8.33,0,0,0,0,0,0,8.33,16.67,16.67,0,16.67,0,0,8.33,0,0,8.33,0,8.33,0,0,8.33,8.33,0,8.33,0,0,0,0,0,8.33,0,8.33,8.33,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,0,0,0,0
What structure is an extension of the spine of the scapula?,0,1,11,99,,5.07,,11,27.27,81.82,63.64,63.64,9.09,0,0,0,0,0,0,9.09,27.27,27.27,0,18.18,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
How many bones are there in the upper limbs combined?,0,1,10,69.05,,99,,10,10,80,70,60,0,0,0,0,0,0,0,0,20,10,0,10,10,20,0,0,10,20,10,0,0,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0
Which bony landmark is located on the lateral side of the proximal humerus?,0,1,13,99,7.93,99,,13,38.46,84.62,61.54,46.15,7.69,0,0,0,0,0,0,7.69,15.38,15.38,0,15.38,7.69,0,0,0,7.69,15.38,0,0,0,0,0,7.69,0,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,0,0,30.77,0,0,0,0,0,7.69,0,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0
Which region of the humerus articulates with the radius as part of the elbow joint?,0,1,15,99,1.24,63.35,,15,13.33,73.33,60,53.33,6.67,0,0,0,0,0,0,6.67,20,20,0,26.67,0,0,6.67,0,0,0,6.67,0,0,0,0,13.33,0,13.33,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0
Which is the lateral-most carpal bone of the proximal row?,0,1,10,97.77,3.95,63.35,,10,20,70,60,50,10,0,0,0,0,0,0,10,20,20,0,10,10,0,0,0,10,10,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,10,0,0,10,0
What is a characteristic of the radius bone?,0,1,8,98.55,,,,8,12.5,87.5,75,62.5,12.5,0,0,0,0,0,0,12.5,25,25,0,12.5,12.5,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0
How many bones fuse in adulthood to form the hip bone?,0,1,11,99,,50.45,,11,9.09,72.73,45.45,45.45,0,0,0,0,0,0,0,0,18.18,9.09,0,18.18,0,9.09,0,0,0,9.09,9.09,0,0,0,0,9.09,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0
